Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-BH-A1EO-01A-11R-A137-07,0.21901647497171,0,0.00150634004659941,0.388692538907545,0,3.19695035704259,0.00487434032847903,0.512291113505397,0.156094387599143,0.0343749104648808,0,0.0193473734225488,0,2.85133605613118,0.934399432056182,2.2618074631687,0.356265320700343,0,2.58637238954426,0,0,0.0959879005288761,0,0.267242288809992,0.976269108553786,13.6193163984184
TCGA-A8-A09K-01A-11R-A00Z-07,0.151017504942031,0,0.41123759630143,4.28251624835401,0,1.79470409778697,1.09383301148901,0.825282644654782,0.482543959416893,0,0,0,0.00547174756175126,1.05763396676693,0.964966940695499,1.88969629745735,0.118357585137547,0,1.84066009315399,0,0,0,0,0.138624736274474,1.03323277317648,14.9179216937182
TCGA-A8-A08Z-01A-21R-A00Z-07,0.164801380587452,0,0.0669579330676063,0.205099144036838,0,2.02840212841655,0,0.176940864339081,0.284646414147519,0,0.00536350186107738,0,0.814705616270369,4.26315088371593,0.459525064203906,1.99109624909387,0.0572122770065015,0,0.657668135197215,0,0,0,0,0.444653634816686,0.897428593741855,11.1755695919439
TCGA-BH-A0BZ-01A-31R-A12P-07,0.680828464860911,0,0.0744667686497095,3.69502950645602,0,1.7359095830008,1.00830240398485,1.12964363443699,1.55317697190668,1.05001746174576,0,0.0876341840793004,0,1.9963011081768,2.57719679343921,2.23070886373816,0.166255734525746,0,1.01741725779679,0,0,0,0,0.293799586137126,0.968510925270201,19.0028887367977
TCGA-BH-A0BZ-11A-61R-A12P-07,1.14182445862222,0,0.0264048433097974,0.651927978778119,0,2.74006011938019,0,0.385860088528535,0.465234504362747,0,0,0.9498577160943,0.403249902439411,0,0.667683738902795,5.66589337144414,0.166675648506681,0.177866774086697,0,2.74237678151175,0.0827185898878204,0.0981378165941077,0,0.121987768867062,1.04186779874212,16.3657723324493
TCGA-A8-A06Y-01A-21R-A00Z-07,1.38151205373814,0,0.292056491597554,0.0319322089757449,0,0.165686129516568,0,0.606663926727363,0.150524291060179,0.0699562862943326,0,0.156611812519731,0,1.61479552456092,0.406033798462749,0.98635278341956,0,0.222348217137878,0.462717804618621,0,0,0,0,0.0731628700409781,1.06503088318802,6.54719132862934
TCGA-C8-A1HG-01A-11R-A137-07,0.349173337332363,0,4.40116504444914,12.3469298031079,0,3.19448821170668,2.38091058458072,2.22059178580213,2.14084808782034,0.0199551023677174,0,0.346824627317774,0,2.40585918232793,3.42995848048178,8.0969404885742,0.269927087817503,0,0.97149743789511,0,0,0.0424792588722666,0,0.200077159271297,1.00929549667594,42.6175485204535
TCGA-BH-A0BQ-11A-33R-A115-07,1.10001174528654,0,0.790361441913256,2.74027193954004,0,5.6504288840475,0,0.507706110282272,0,0,0,0.210128095507957,0.193906312070209,0,0.813323514400386,2.09675730330858,0.535286096238553,0.104432497588081,1.38044704910219,0,0,0,0,0.178821160547405,1.02033040120123,16.1230609892856
TCGA-BH-A0BQ-01A-21R-A115-07,2.00131577744824,0,0.200602349118137,1.97349318396283,0,3.41941990129751,0,0.440781397313801,0.530080092509262,0,0,0,0.215922507656179,2.9595800064418,1.14183344909078,0.822874684801371,0.109821183177356,0,1.32349049393928,0,0,0,0,0.288148056692126,0.967227317326759,15.1392150267565
TCGA-A8-A0A2-01A-11R-A034-07,0.474070424411578,0,1.07751025777198,2.40679994317099,0,3.97114686195167,0.00703061418475945,0.648193970036513,0.320016741235372,0,0,0,1.31409683434266,0,1.10729685608622,2.80130269839818,0.0681261167161641,0,0.853682135901133,0,0,0,0,0.179870739913373,1.01285920666818,15.0492734542072
TCGA-AN-A0XV-01A-11R-A109-07,1.20696059267411,0,0.103180659076176,0.730597075492214,0,4.61907570187535,0.0172092243242623,0.954189237892467,0.17957872720262,0.711695761927088,0,0,0,1.34913126032016,1.89672423895248,1.35734991889061,0.340440957231827,0,0.60254231555619,0,0,0,0,0.171358438633144,1.02455256349582,14.0686756714156
TCGA-B6-A0RO-01A-22R-A084-07,0.650579510065138,0,0.0402907667871042,0.94443269816405,0,1.10957853673335,0,0.649675256199932,0,0.0182331727953781,0,0.174166799065629,1.0960802363592,0.0304109391967082,0.579851736682927,1.53486262470853,0,0.428884754982213,0.467739449590385,0,0.224960432895789,0,0,-0.0157123783788731,1.07957009897056,7.94974691422633
TCGA-BH-A0W7-01A-11R-A115-07,1.78868616063352,0,1.11760553182237,1.789936627836,0,4.26589267747968,0.584254365552224,0.444351320239171,1.52870190937175,1.44410933716145,0,0,0,3.81460126340419,2.61108780645653,1.69600237948999,0.196909066263765,0,2.48601345617203,0,0,0,0,0.268382521230089,0.973712264058331,23.7681519018827
TCGA-AN-A03X-01A-21R-A00Z-07,0.0228562467316022,0,0.0025855161462485,0.353942989357769,0,1.18573481506334,0,0.253140008389066,0,0.015571397673532,0,0.418849788600351,0,0.729161127245499,0.702656375949131,2.13607083189572,0.0915291006713602,0,3.32554983699134,0,0.096952412485238,0,0,0.258870700750126,0.985932133049581,9.33460044720019
