from,to,Edge_No
CCN4,Mesenchymal,1
Mesenchymal,CCN4,1
pM0,pM1,2
pM1,pM0,2
pM0,pM2,3
pM2,pM0,3
CAF_lg,Mesenchymal,4
Mesenchymal,CAF_lg,4
Cancer,CCN4,5
CCN4,Cancer,5
NK.cells.active_lg,NK.cells.rest_lg,6
NK.cells.rest_lg,NK.cells.active_lg,6
B.cells.naive_lg,T.cells.CD8_lg,7
T.cells.CD8_lg,B.cells.naive_lg,7
CAF_lg,proliferation,8
proliferation,CAF_lg,8
Endothelial.cells_lg,proliferation,9
proliferation,Endothelial.cells_lg,9
Cancer,Epithelial,10
Epithelial,Cancer,10
Cancer,proliferation,11
proliferation,Cancer,11
CD4Tcell_sc_lg,Macrophages_sc_lg,12
Macrophages_sc_lg,CD4Tcell_sc_lg,12
pM1,T.cells.CD8_lg,13
T.cells.CD8_lg,pM1,13
Macrophages_sc_lg,T.cells.CD8_lg,14
T.cells.CD8_lg,Macrophages_sc_lg,14
CD4Tcell_sc_lg,Endothelial.cells_lg,15
Endothelial.cells_lg,CD4Tcell_sc_lg,15
CAF_lg,T.cells.CD8_lg,16
T.cells.CD8_lg,CAF_lg,16
B.cells.naive_lg,CD4Tcell_sc_lg,17
CD4Tcell_sc_lg,B.cells.naive_lg,17
Epithelial,Neutrophils_lg,18
Neutrophils_lg,Epithelial,18
Cancer,Endothelial.cells_lg,19
Endothelial.cells_lg,Cancer,19
B.cells.naive_lg,Endothelial.cells_lg,20
Endothelial.cells_lg,B.cells.naive_lg,20
Cancer,pM2,21
pM2,Cancer,21
Cancer,Mesenchymal,22
Mesenchymal,Cancer,22
pM2,proliferation,23
proliferation,pM2,23
Neutrophils_lg,pM2,24
pM2,Neutrophils_lg,24
Macrophages_sc_lg,Neutrophils_lg,25
Neutrophils_lg,Macrophages_sc_lg,25
CAF_lg,pM1,26
pM1,CAF_lg,26
pM1,pM2,27
pM2,pM1,27
NK.cells.rest_lg,T.cells.CD8_lg,28
T.cells.CD8_lg,NK.cells.rest_lg,28
CD4Tcell_sc_lg,NK.cells.active_lg,29
